task_id,task_index,task_name,language_description,video_path,hf_source_video
task-0010,10,set_up_a_coffee_station_in_your_kitchen,"Set up a coffee station on the kitchen countertop: keep the coffee maker on the countertop, move the bottle of coffee from the kitchen shelf to the counter next to the coffee maker, place a paper coffee filter on top of the coffee maker, put the saucer next to the coffee maker with the coffee cup on the saucer, and place the electric kettle next to the coffee maker.",videos/task-0010__set_up_a_coffee_station_in_your_kitchen.mp4,videos/task-0010/observation.images.rgb.head/episode_00100010.mp4
task-0011,11,putting_dishes_away_after_cleaning,"In the kitchen, gather all eight plates from the two countertops, place them all inside a single cabinet (either one), and make sure all cabinets are closed when you're done.",videos/task-0011__putting_dishes_away_after_cleaning.mp4,videos/task-0011/observation.images.rgb.head/episode_00110010.mp4
task-0012,12,preparing_lunch_box,"Put both apple halves, the club sandwich, and the chocolate chip cookie from the chopping board on the kitchen countertop into the packing box on the countertop. Then take the bottle of tea out of the refrigerator, put it into the same box, and close the refrigerator when you're done.",videos/task-0012__preparing_lunch_box.mp4,videos/task-0012/observation.images.rgb.head/episode_00120010.mp4
task-0013,13,loading_the_car,"Put the digital camera from the living room table into the container on the living room floor. Then take the container and the tennis racket to the garage, place both in the car trunk, and close it.",videos/task-0013__loading_the_car.mp4,videos/task-0013/observation.images.rgb.head/episode_00130010.mp4
task-0014,14,carrying_in_groceries,"Take the sack of groceries out of the car trunk in the garage, bring it to the kitchen, and put both the tomato and the carton of milk into the refrigerator in the kitchen. When you're done, close the car trunk and make sure the refrigerator in the kitchen is closed.",videos/task-0014__carrying_in_groceries.mp4,videos/task-0014/observation.images.rgb.head/episode_00140010.mp4
task-0015,15,bringing_in_wood,Bring the three plywood sheets from the garden into the corridor and place them on the floor there.,videos/task-0015__bringing_in_wood.mp4,videos/task-0015/observation.images.rgb.head/episode_00150010.mp4
task-0016,16,moving_boxes_to_storage,"Move the two storage containers from the living room to the garage. In the garage, place one container on the floor and stack the other container on top of it (either order is fine).",videos/task-0016__moving_boxes_to_storage.mp4,videos/task-0016/observation.images.rgb.head/episode_00160010.mp4
task-0017,17,bringing_water,"Retrieve the two bottles from the refrigerator in the kitchen, bring them to the living room, and place both on the coffee table. Make sure the refrigerator is closed when you finish.",videos/task-0017__bringing_water.mp4,videos/task-0017/observation.images.rgb.head/episode_00170010.mp4
task-0018,18,tidying_bedroom,"In the bedroom, move the book from the bed onto either nightstand, and place the two sandals side by side next to the bed.",videos/task-0018__tidying_bedroom.mp4,videos/task-0018/observation.images.rgb.head/episode_00180020.mp4
task-0019,19,outfit_a_basic_toolbox,"In the utility room, put the drill, pliers, flashlight, Allen wrench, and screwdriver from the tabletop into the toolbox, keep the toolbox on the tabletop, and close the toolbox.",videos/task-0019__outfit_a_basic_toolbox.mp4,videos/task-0019/observation.images.rgb.head/episode_00190010.mp4
task-0020,20,sorting_vegetables,Sort the vegetables from the two wicker baskets on the kitchen floor into the mixing bowls on the kitchen countertop: put all three bok choy and all three Vidalia onions together into one mixing bowl; put both leeks and both broccoli together into a second mixing bowl; and put all three sweet corn into a third mixing bowl.,videos/task-0020__sorting_vegetables.mp4,videos/task-0020/observation.images.rgb.head/episode_00200010.mp4
task-0021,21,collecting_childrens_toys,"Pick up the two dice from the bed, the two teddy bears from the floor, and the two board games (one from the desk and one from the bed), and place them all inside the same bookcase in the child's room.",videos/task-0021__collecting_childrens_toys.mp4,videos/task-0021/observation.images.rgb.head/episode_00210020.mp4
task-0022,22,putting_shoes_on_rack,"Pick up the two gym shoes and the two sandals from the corridor floor and place them onto the hallstand (shoe rack) in the corridor, making sure they are on the rack and not on the floor. Arrange them so the two gym shoes are next to each other and the two sandals are next to each other.",videos/task-0022__putting_shoes_on_rack.mp4,videos/task-0022/observation.images.rgb.head/episode_00220020.mp4
task-0023,23,boxing_books_up_for_storage,Put all six books from the bookcases in the living room into the box on the living room floor.,videos/task-0023__boxing_books_up_for_storage.mp4,videos/task-0023/observation.images.rgb.head/episode_00230010.mp4
task-0024,24,storing_food,"Put away all the food on the kitchen countertop by storing it inside the kitchen cabinets: move the two boxes of oatmeal, two bags of chips, two bottles of olive oil, and two jars of sugar from the countertop into the kitchen cabinets (each item can go into either cabinet).",videos/task-0024__storing_food.mp4,videos/task-0024/observation.images.rgb.head/episode_00240010.mp4
task-0025,25,clearing_food_from_table_into_fridge,"Pack the half chicken and the half apple pie from the plates on the breakfast table into the two tupperware containers from the countertop, then put both tupperware containers inside the refrigerator in the kitchen and make sure the refrigerator is closed at the end.",videos/task-0025__clearing_food_from_table_into_fridge.mp4,videos/task-0025/observation.images.rgb.head/episode_00250020.mp4
task-0026,26,assembling_gift_baskets,"Place one candle, one butter cookie, one piece of Swiss cheese, and one bow from the table into each of the four wicker baskets on the floor in the living room.",videos/task-0026__assembling_gift_baskets.mp4,videos/task-0026/observation.images.rgb.head/episode_00260010.mp4
task-0027,27,sorting_household_items,"From the two baskets on the bedroom floor, take out the items and organize them in the bathroom: place both detergent bottles under the bathroom sink next to each other; put the box of sanitary napkins on the bathroom shelf; set the soap dispenser on the sink; make sure the cup remains on the sink; put both the toothpaste tube and the toothbrush inside the cup.",videos/task-0027__sorting_household_items.mp4,videos/task-0027/observation.images.rgb.head/episode_00270010.mp4
task-0028,28,getting_organized_for_work,"In the bedroom, organize the workspace by keeping the computer under the desk, ensuring the monitor is on the desk, placing the keyboard on the desk next to the monitor, placing the mouse on the desk next to the keyboard, moving the folder from the swivel chair onto the desk next to the mouse, stacking the notebook on top of the folder with the pen on top of the notebook, and positioning the swivel chair next to the desk.",videos/task-0028__getting_organized_for_work.mp4,videos/task-0028/observation.images.rgb.head/episode_00280010.mp4
task-0029,29,clean_up_your_desk,"In the child's room, clean up the desk: put both folders and both paperback books into the bookcase; put the pencil and both pens into the pencil case and leave the case on the desk; take the stapler out of the bookcase and place it on the desk; move the laptop from the bed onto the desk and close it.",videos/task-0029__clean_up_your_desk.mp4,videos/task-0029/observation.images.rgb.head/episode_00290010.mp4
task-0030,30,setting_the_fire,"In the living room, place the newspaper from the table into the wood fireplace, then put both pieces of firewood from the floor on top of the newspaper. Use the cigar lighter to ignite any one of the items so that the whole pile catches fire, and then turn the lighter off.",videos/task-0030__setting_the_fire.mp4,videos/task-0030/observation.images.rgb.head/episode_00300010.mp4
task-0031,31,clean_boxing_gloves,Wash the two dusty boxing gloves from the countertop in the utility room in the washer until they are no longer covered with dust.,videos/task-0031__clean_boxing_gloves.mp4,videos/task-0031/observation.images.rgb.head/episode_00310010.mp4
task-0032,32,wash_a_baseball_cap,Wash the two baseball caps on the countertop in the utility room using the washer until they are no longer dirty.,videos/task-0032__wash_a_baseball_cap.mp4,videos/task-0032/observation.images.rgb.head/episode_00320010.mp4
task-0033,33,wash_dog_toys,"In the utility room, take the two teddy toys, the tennis ball, and the softball out of the cabinet and wash them in the washer so that both teddies are free of dirt and dust, the tennis ball has no debris, and the softball has no dirt.",videos/task-0033__wash_dog_toys.mp4,videos/task-0033/observation.images.rgb.head/episode_00330010.mp4
task-0034,34,hanging_pictures,Pick up the poster from the kitchen countertop and hang it on one of the wall nails in the kitchen.,videos/task-0034__hanging_pictures.mp4,videos/task-0034/observation.images.rgb.head/episode_00340020.mp4
task-0035,35,attach_a_camera_to_a_tripod,Attach the digital camera to the camera tripod in the bedroom.,videos/task-0035__attach_a_camera_to_a_tripod.mp4,videos/task-0035/observation.images.rgb.head/episode_00350010.mp4
task-0036,36,clean_a_patio,Pick up the broom in the garden and sweep the mud off the patio floor until the floor is no longer covered in mud.,videos/task-0036__clean_a_patio.mp4,videos/task-0036/observation.images.rgb.head/episode_00360010.mp4
task-0037,37,clean_a_trumpet,"In the bedroom, pick up the scrub brush from the desk and scrub the cornet (trumpet) on the desk until it's no longer covered in dust.",videos/task-0037__clean_a_trumpet.mp4,videos/task-0037/observation.images.rgb.head/episode_00370010.mp4
task-0038,38,spraying_for_bugs,Pick up the pesticide atomizer in the garden and spray insectifuge to fully cover both potted plants in the garden.,videos/task-0038__spraying_for_bugs.mp4,videos/task-0038/observation.images.rgb.head/episode_00380010.mp4
task-0039,39,spraying_fruit_trees,"In the garden, pick up the pesticide atomizer on the floor and spray pesticide onto both trees until each tree trunk is fully covered.",videos/task-0039__spraying_fruit_trees.mp4,videos/task-0039/observation.images.rgb.head/episode_00390020.mp4
task-0040,40,make_microwave_popcorn,"In the kitchen, take the popcorn bag from the countertop, put it into the microwave, and heat it until the popcorn is cooked so the cooked popcorn ends up inside the bag.",videos/task-0040__make_microwave_popcorn.mp4,videos/task-0040/observation.images.rgb.head/episode_00400010.mp4
task-0041,41,cook_cabbage,"From the kitchen refrigerator, take the cabbage and the chili, dice them on the chopping board with the knife, cook the diced cabbage and diced chili in the frying pan on the stove, and leave the cooked, diced cabbage and cooked, diced chili in the frying pan.",videos/task-0041__cook_cabbage.mp4,videos/task-0041/observation.images.rgb.head/episode_00410030.mp4
task-0042,42,chop_an_onion,"In the kitchen, take the Vidalia onion out of the sink, dice it on the chopping board with the paring knife, put the diced onion into the bowl on the countertop, then place both the paring knife and the chopping board into the sink.",videos/task-0042__chop_an_onion.mp4,videos/task-0042/observation.images.rgb.head/episode_00420010.mp4
task-0043,43,slicing_vegetables,"From the refrigerator in the kitchen, take out the two bell peppers, the two beets, and the zucchini. Then, on either chopping board on the countertop, use the parer to dice all of them so that only diced bell pepper, diced beet, and diced zucchini remain. Make sure the refrigerator is closed when you finish.",videos/task-0043__slicing_vegetables.mp4,videos/task-0043/observation.images.rgb.head/episode_00430010.mp4
task-0044,44,chopping_wood,Chop the four logs on the driveway in the garden into eight half logs using the axe and the chopping block.,videos/task-0044__chopping_wood.mp4,videos/task-0044/observation.images.rgb.head/episode_00440010.mp4
task-0045,45,cook_hot_dogs,Take the two hot dogs out of the refrigerator in the kitchen and cook them in the microwave until both are cooked.,videos/task-0045__cook_hot_dogs.mp4,videos/task-0045/observation.images.rgb.head/episode_00450010.mp4
task-0046,46,cook_bacon,"Take the tray with six slices of bacon out of the refrigerator in the kitchen, cook all six slices in the frying pan on the stove until they're cooked, and make sure the refrigerator is closed when you're done.",videos/task-0046__cook_bacon.mp4,videos/task-0046/observation.images.rgb.head/episode_00460010.mp4
task-0047,47,freeze_pies,"In the kitchen, take the two apple pies from the plates on the countertop, put each pie into a separate tupperware container taken from the cabinet, place both tupperwares inside the refrigerator, close the refrigerator, and leave them until the pies are frozen.",videos/task-0047__freeze_pies.mp4,videos/task-0047/observation.images.rgb.head/episode_00470010.mp4
task-0048,48,canning_food,"In the kitchen, open the refrigerator and the cabinet. Take the steak and the pineapple out of the refrigerator and take two bowls from the cabinet. On the chopping board on the countertop, use the carving knife to dice the steak and to dice the pineapple. Put only the diced steak into one bowl and only the diced pineapple into the other bowl - do not mix them. Place both bowls back inside the cabinet, then close the refrigerator and close the cabinet.",videos/task-0048__canning_food.mp4,videos/task-0048/observation.images.rgb.head/episode_00480010.mp4
task-0049,49,make_pizza,"Make a pizza on the cookie sheet in the kitchen: take the grated cheese, the four pieces of pepperoni, and the two mushrooms from their tupperware containers in the refrigerator; chop the Vidalia onion on the chopping board with the knife, and also chop the two whole mushrooms in half; top the pizza dough that's already on the cookie sheet with the cheese, pepperoni, halved mushrooms, and chopped onion; bake it in the oven until it becomes a pizza, and leave the finished pizza on the cookie sheet.",videos/task-0049__make_pizza.mp4,videos/task-0049/observation.images.rgb.head/episode_00490010.mp4
